Sector,Ticker, Symbols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerospace & Defense, BA.L, RR.L, COB.L, MGGT.L, QQ.L, SNR.L, ULE.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automobiles & Parts, GKN.L, TIFS.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banks, BARC.L, HSBA.L, LLOY.L, RBS.L, STAN.L, ALD.L, BGEO.L, CBG.L, CYBG.L, MTRO.L, TBCG.L, VM.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beverages, CCH.L, DGE.L, BAG.L, BVIC.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemicals, CRDA.L, JMAT.L, ELM.L, SXX.L, SYNT.L, VCT.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contruction & Materials, CRH.L, BBY.L, IBST.L, KIE.L, MSLH.L, MRO.L, PLP.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity, SSE.L, DRAX.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronic & Electrical Equipment, HLMA.L, MGAM.L, RSW.L, SXS.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equity Investment Instruments, SMT.L, 3IN.L, ASL.L, ATST.L, BNKR.L, BTEM.L, CLDN.L, CTY.L, EDIN.L, FCS.L, FEV.L, FCSS.L, FGT.L, FRCL.L, GCP.L, GSS.L, UKW.L, HVPE.L, HRI.L, HICL.L, INPP.L, JLIF.L, JII.L, JAM.L, JMG.L, JEO.L, MRC.L, MNKS.L, MYI.L, NBLS.L, PLI.L, PSH.L, PCT.L, TRIG.L, RCP.L, RSE.L, SDP.L, SCIN.L, SEQI.L, SYNC.L, TMPL.L, TEM.L, TRY.L, VEIL.L, WTAN.L, WPCT.L, WWH.L
Financial Services, III.L, HL.L, LSE.L, SDR.L, SLA.L, ASHM.L, BRW.L, IGG.L, ICP.L, INVP.L, IPO.L, JLG.L, JUP.L, EMG.L, NXG.L, OSB.L, PAG.L, PFG.L, RAT.L, TCAP.L,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Line Telecommunications, BT.L, TALK.L, TEP.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food & Drug Retailers, MRW.L, SBRY.L, TSCO.L, BOK.L, GRG.L, OCDO.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food Producers, ABF.L, CWK.L, DCG.L, GNC.L, PURE.L, TATE.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forestry & Paper, MNDI.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gas, Water & Multiutilities", CAN.L, NG.L, SVT.L, UU.L, PNN.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Industrials, SMDS.L, SMIN.L, SKG.L, COA.L, RPC.L, VSVS.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Retailers, JE.L, KGF.L, MKS.L, NXT.L, BME.L, BWNG.L, CARD.L, DTY.L, DC.L, DNLM.L, HFD.L, INCH.L, JD.L, PETS.L, SAGA.L, SPD.L, SMWH.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Care Equipment & Services, NMC.L, MDC.L, SN.L, CTEC.L, SPI.L, UDG.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Goods, BDEV.L, BKG.L, PSN.L, RB.L, TW.L, BWY.L, BVS.L, CSP.L, CRST.L, GFRD.L, MCS.L, RDW.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
